동별(1),동별(2),동별(3),2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
동별(1),동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
합계,동대문구,용신동,32144,1.61,19965,32602,1.61,20250,33055,1.61,20531,36137,1.61,22445,40088,1.61,24899
합계,동대문구,제기동,27364,1.18,23190,27017,1.18,22896,26577,1.18,22523,26484,1.18,22444,25501,1.18,21611
합계,동대문구,전농1동,31075,1.19,26113,30722,1.19,25817,29699,1.19,24957,29220,1.19,24555,32897,1.19,27645
합계,동대문구,전농2동,19990,0.86,23244,19449,0.86,22615,18876,0.86,21949,18629,0.86,21662,18432,0.86,21433
합계,동대문구,답십리2동,30486,0.85,35866,29486,0.85,34689,28595,0.85,33641,28055,0.85,33006,27854,0.85,32769
합계,동대문구,장안1동,39153,1.25,31322,39287,1.25,31430,38794,1.25,31035,38677,1.25,30942,38032,1.25,30426
합계,동대문구,장안2동,33045,1.09,30317,33339,1.09,30586,32791,1.09,30083,32685,1.09,29986,33020,1.09,30294
합계,동대문구,이문1동,22311,1.04,21453,21205,1.04,20389,20870,1.04,20067,21366,1.04,20544,21488,1.04,20662
합계,동대문구,이문2동,21174,0.69,30687,20947,0.69,30358,20417,0.69,29590,20183,0.69,29251,19935,0.69,28891
합계,동대문구,답십리1동,29783,0.81,36769,29511,0.81,36433,29373,0.81,36263,28530,0.81,35222,28284,0.81,34919
합계,중랑구,소계,402024,18.5,21736,399562,18.5,21603,391885,18.5,21188,390140,18.5,21092,387470,18.5,20948
합계,중랑구,면목2동,25942,0.73,35537,25214,0.77,32745,24405,0.77,31695,24206,0.77,31436,24001,0.77,31170
합계,중랑구,면목4동,20052,1.1,18229,19270,0.87,22149,19308,0.87,22193,18746,0.87,21547,18490,0.87,21253
합계,중랑구,면목5동,9825,0.64,15352,14661,0.7,20944,14897,0.7,21281,14836,0.7,21194,14740,0.7,21057
합계,중랑구,면목7동,22200,0.87,25517,22714,1.2,18928,22070,1.2,18392,21798,1.2,18165,21557,1.2,17964
합계,중랑구,상봉1동,25499,0.85,29999,24912,0.88,28309,24190,0.88,27489,23714,0.88,26948,23353,0.88,26538
합계,중랑구,상봉2동,19844,0.68,29182,20214,0.65,31098,20647,0.65,31765,20612,0.65,31711,20760,0.65,31938
합계,중랑구,중화1동,20916,0.68,30759,20400,0.64,31875,19784,0.64,30913,19293,0.64,30145,18908,0.64,29544
합계,중랑구,중화2동,27274,0.98,27831,26073,1.01,25815,25315,1.01,25064,24926,1.01,24679,24326,1.01,24085
합계,중랑구,묵1동,36016,1.2,30013,35588,1.2,29657,34636,1.2,28863,34344,1.2,28620,33935,1.2,28279
합계,중랑구,묵2동,19901,0.7,28430,19672,0.67,29361,18946,0.67,28278,18624,0.67,27797,18323,0.67,27348
합계,중랑구,망우3동,17941,0.99,18122,17508,0.92,19030,16698,0.92,18150,16303,0.92,17721,16078,0.92,17476
합계,중랑구,신내1동,40854,2.53,16148,39831,2.56,15559,38649,2.56,15097,38205,2.56,14924,37938,2.56,14820
합계,중랑구,신내2동,21905,0.99,22126,21302,0.93,22905,20529,0.93,22074,20155,0.93,21672,19774,0.93,21262
합계,중랑구,면목본동,36195,1.01,35837,35424,0.84,42171,34188,0.84,40700,33856,0.84,40305,33550,0.84,39940
합계,중랑구,면목3·8동,26589,1.67,15922,25995,1.63,15948,25154,1.63,15432,24617,1.63,15102,24842,1.63,15240
합계,중랑구,망우본동,31071,2.88,10789,30784,3.03,10160,32469,3.03,10716,35905,3.03,11850,36895,3.03,12177
합계,성북구,소계,454744,24.57,18505,447056,24.58,18190,440142,24.58,17909,441984,24.58,17983,438168,24.58,17828
합계,성북구,돈암1동,15921,0.49,32492,15379,0.49,31386,14791,0.49,30186,14474,0.49,29539,14376,0.49,29339
합계,성북구,돈암2동,25028,0.48,52142,24686,0.48,51429,23913,0.48,49819,23657,0.48,49285,23547,0.48,49056
합계,성북구,안암동,17502,1.33,13159,16580,1.33,12466,16527,1.33,12426,17118,1.33,12871,17268,1.33,12983
합계,성북구,보문동,16653,0.56,29738,16123,0.56,28791,15766,0.56,28154,16712,0.56,29843,16575,0.56,29598
합계,성북구,정릉1동,19455,0.44,44216,18929,0.44,43020,18377,0.44,41766,18197,0.44,41357,18015,0.44,40943
합계,성북구,정릉2동,23834,1.17,20371,23736,1.17,20287,23268,1.17,19887,22911,1.17,19582,22815,1.17,19500
합계,성북구,정릉3동,17233,3.71,4645,16847,3.71,4541,16210,3.71,4369,16567,3.71,4465,16628,3.71,4482
합계,성북구,정릉4동,26792,3.13,8560,25993,3.13,8304,25322,3.13,8090,24911,3.13,7959,24516,3.13,7833
합계,성북구,길음1동,37082,0.79,46939,36568,0.79,46289,35615,0.79,45082,35000,0.79,44304,34903,0.79,44181
합계,성북구,길음2동,16620,0.58,28655,17167,0.58,29598,16780,0.58,28931,21728,0.58,37462,21802,0.58,37590
합계,성북구,월곡1동,27523,0.81,33979,27108,0.81,33467,26525,0.81,32747,26169,0.81,32307,25799,0.81,31851
합계,성북구,월곡2동,20509,1.36,15080,20396,1.36,14997,19896,1.36,14629,19739,1.36,14514,19531,1.36,14361
합계,성북구,장위1동,20592,0.7,29417,20449,0.7,29213,24511,0.7,35016,24082,0.7,34403,23607,0.7,33724
합계,성북구,장위2동,13972,0.67,20854,14106,0.67,21054,13953,0.67,20825,13622,0.67,20331,13362,0.67,19943
합계,성북구,장위3동,17580,0.65,27046,17359,0.65,26706,15980,0.65,24585,15868,0.65,24412,15663,0.65,24097
합계,성북구,성북동,17584,2.86,6148,17404,2.86,6085,17026,2.86,5953,16889,2.86,5905,16503,2.86,5770
합계,성북구,삼선동,26013,0.92,28275,24144,0.92,26243,23413,0.92,25449,23044,0.92,25048,22824,0.92,24809
합계,성북구,동선동,16276,0.73,22296,16246,0.73,22255,16115,0.73,22075,15870,0.73,21740,15973,0.73,21881
합계,성북구,종암동,42068,1.46,28814,41353,1.46,28324,40325,1.46,27620,40111,1.46,27473,39766,1.46,27237
합계,성북구,석관동,36507,1.73,21102,36483,1.73,21088,35829,1.73,20710,35315,1.73,20413,34695,1.73,20055
합계,강북구,소계,317695,23.6,13462,311569,23.6,13202,302563,23.6,12820,297702,23.6,12614,292977,23.6,12414
합계,강북구,번1동,19614,0.66,29718,19441,0.66,29456,18717,0.66,28359,18578,0.66,28148,17963,0.66,27217
합계,강북구,번2동,17102,0.95,18002,16544,0.95,17415,15932,0.95,16771,15397,0.95,16207,14994,0.95,15783
합계,강북구,번3동,18251,1.1,16592,17605,1.1,16005,16905,1.1,15368,16449,1.1,14954,16420,1.1,14927
합계,강북구,수유1동,21841,1.67,13078,21468,1.67,12855,20849,1.67,12484,20501,1.67,12276,20200,1.67,12096
합계,강북구,수유2동,21939,0.57,38489,21595,0.57,37886,21421,0.57,37581,21054,0.57,36937,20697,0.57,36311
합계,강북구,수유3동,24064,0.72,33422,23907,0.72,33204,23393,0.72,32490,23778,0.72,33025,23954,0.72,33269
합계,강북구,삼양동,25537,0.91,28063,24742,0.91,27189,23802,0.91,26156,23090,0.91,25374,22622,0.91,24859
합계,강북구,미아동,22814,0.93,24531,22723,0.93,24433,21997,0.93,23653,21685,0.93,23317,21546,0.93,23168
합계,강북구,송중동,31153,1.01,30845,30934,1.01,30628,30035,1.01,29738,29910,1.01,29614,29296,1.01,29006
합계,강북구,송천동,28628,0.9,31809,27871,0.9,30968,26801,0.9,29779,25998,0.9,28887,25208,0.9,28009
합계,강북구,삼각산동,32900,0.62,53065,32118,0.62,51803,31470,0.62,50758,30939,0.62,49902,30716,0.62,49542
합계,강북구,우이동,21391,10.28,2081,21076,10.28,2050,20678,10.28,2011,20407,10.28,1985,20000,10.28,1946
합계,강북구,인수동,32461,3.28,9897,31545,3.28,9617,30563,3.28,9318,29916,3.28,9121,29361,3.28,8952
합계,도봉구,소계,335631,20.66,16245,327361,20.65,15852,319373,20.65,15465,313989,20.65,15205,309494,20.65,14987
합계,도봉구,쌍문1동,22364,1.24,18035,22016,1.24,17755,21658,1.24,17466,21445,1.24,17294,21085,1.24,17004
합계,도봉구,쌍문2동,20025,0.54,37083,19406,0.54,35937,18864,0.54,34933,18461,0.54,34187,18082,0.54,33485
합계,도봉구,쌍문3동,17262,0.5,34524,16922,0.5,33844,16768,0.5,33536,16934,0.5,33868,16651,0.5,33302
합계,도봉구,쌍문4동,19811,0.52,38098,19297,0.52,37110,18643,0.52,35852,18348,0.52,35285,18120,0.52,34846
합계,도봉구,방학1동,30056,0.69,43559,29236,0.69,42371,28912,0.69,41901,28410,0.69,41174,28005,0.69,40587
합계,도봉구,방학2동,21140,0.74,28568,20473,0.74,27666,19867,0.74,26847,19354,0.74,26154,18739,0.74,25323
합계,도봉구,방학3동,28782,2.64,10902,27973,2.62,10677,27110,2.62,10347,26500,2.62,10115,26155,2.62,9983
합계,도봉구,창1동,26271,0.88,29853,25400,0.88,28864,24827,0.88,28213,24502,0.88,27843,24224,0.88,27527
합계,도봉구,창2동,30498,1.07,28503,29912,1.05,28488,29337,1.05,27940,28957,1.05,27578,28468,1.05,27112
합계,도봉구,창3동,14777,0.67,22055,14402,0.67,21496,13923,0.67,20781,13633,0.67,20348,13297,0.67,19846
