"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241120","분당선","수서","17573","18912","20241123"
"20241120","3호선","수서","21093","20637","20241123"
"20241120","경부선","수원","38401","40659","20241123"
"20241120","분당선","수원","8350","7931","20241123"
"20241120","분당선","수원시청","15145","16102","20241123"
"20241120","4호선","수유(강북구청)","37457","37919","20241123"
"20241120","8호선","수진","6471","6006","20241123"
"20241120","4호선","숙대입구(갈월)","18194","17703","20241123"
"20241120","7호선","숭실대입구(살피재)","17561","17708","20241123"
"20241120","수인선","숭의","4583","4270","20241123"
"20241120","2호선","시청","32980","31029","20241123"
"20241120","1호선","시청","30765","29374","20241123"
"20241120","분당선","신갈","5424","5245","20241123"
"20241120","5호선","신금호","7390","7802","20241123"
"20241120","5호선","신길","5680","5980","20241123"
"20241120","경부선","신길","9767","8518","20241123"
"20241120","안산선","신길온천","2357","2080","20241123"
"20241120","경춘선","신내","3219","3063","20241123"
"20241120","9호선","신논현","33213","33353","20241123"
"20241120","2호선","신답","1873","2166","20241123"
"20241120","2호선","신당","16604","17342","20241123"
"20241120","6호선","신당","9841","10389","20241123"
"20241120","2호선","신대방","27724","26955","20241123"
"20241120","7호선","신대방삼거리","16647","16031","20241123"
"20241120","경부선","신도림","4294","4755","20241123"
"20241120","2호선","신도림","56201","54587","20241123"
"20241120","경강선","신둔도예촌","1716","1581","20241123"
"20241120","2호선","신림","60248","58804","20241123"
"20241120","신림선","신림","2345","2851","20241123"
"20241120","9호선","신목동","5290","4722","20241123"
"20241120","9호선","신반포","5063","4729","20241123"
"20241120","9호선","신방화","7983","7865","20241123"
"20241120","3호선","신사","29487","31172","20241123"
"20241120","2호선","신설동","3903","3796","20241123"
"20241120","우이신설선","신설동","2905","2747","20241123"
"20241120","1호선","신설동","15769","15201","20241123"
"20241120","4호선","신용산","22342","23998","20241123"
"20241120","중앙선","신원","193","146","20241123"
"20241120","경원선","신이문","8985","8427","20241123"
"20241120","5호선","신정(은행정)","15093","12444","20241123"
"20241120","2호선","신정네거리","11249","11691","20241123"
"20241120","장항선","신창(순천향대)","2662","2510","20241123"
"20241120","2호선","신촌","41926","42780","20241123"
"20241120","경의선","신촌","1048","1401","20241123"
"20241120","수인선","신포","2032","2014","20241123"
"20241120","7호선","신풍","12998","12196","20241123"
"20241120","8호선","신흥","5628","5826","20241123"
"20241120","4호선","쌍문","32681","30426","20241123"
"20241120","장항선","쌍용(나사렛대)","3134","2995","20241123"
"20241120","장항선","아산","4371","3832","20241123"
"20241120","중앙선","아신","584","575","20241123"
"20241120","5호선","아차산(어린이대공원후문)","15923","15671","20241123"
"20241120","2호선","아현","12568","11905","20241123"
"20241120","3호선","안국","30276","31166","20241123"
"20241120","안산선","안산","12677","11416","20241123"
"20241120","6호선","안암(고대병원앞)","16474","16483","20241123"
"20241120","경부선","안양","26805","26976","20241123"
"20241120","8호선","암사","18810","17285","20241123"
