station_name,line,gu,dong,gu_dong
,,송파구,문정1동,송파구_문정1동
복정,분당선,송파구,문정2동,송파구_문정2동
복정,8호선,송파구,문정2동,송파구_문정2동
문정,8호선,송파구,문정2동,송파구_문정2동
방이,5호선,송파구,방이1동,송파구_방이1동
송파나루,9호선(연장),송파구,방이2동,송파구_방이2동
,,송파구,삼전동,송파구_삼전동
석촌,8호선,송파구,석촌동,송파구_석촌동
석촌,9호선(연장),송파구,석촌동,송파구_석촌동
석촌고분,9호선(연장),송파구,석촌동,송파구_석촌동
,,송파구,송파1동,송파구_송파1동
,,송파구,송파2동,송파구_송파2동
오금,3호선,송파구,오금동,송파구_오금동
한성백제,9호선(연장),송파구,오륜동,송파구_오륜동
올림픽공원(한국체대),5호선,송파구,오륜동,송파구_오륜동
올림픽공원(한국체대),9호선(연장),송파구,오륜동,송파구_오륜동
,,송파구,위례동,송파구_위례동
잠실새내,2호선,송파구,잠실2동,송파구_잠실2동
,,송파구,잠실3동,송파구_잠실3동
잠실나루,2호선,송파구,잠실4동,송파구_잠실4동
몽촌토성(평화의문),8호선,송파구,잠실4동,송파구_잠실4동
잠실(송파구청),2호선,송파구,잠실6동,송파구_잠실6동
잠실(송파구청),8호선,송파구,잠실6동,송파구_잠실6동
종합운동장,9호선(연장),송파구,잠실7동,송파구_잠실7동
종합운동장,2호선,송파구,잠실7동,송파구_잠실7동
삼전,9호선(연장),송파구,잠실본동,송파구_잠실본동
장지,8호선,송파구,장지동,송파구_장지동
천호(풍납토성),5호선,송파구,풍납1동,송파구_풍납1동
,,송파구,풍납2동,송파구_풍납2동
목동,5호선,양천구,목1동,양천구_목1동
오목교(목동운동장앞),5호선,양천구,목1동,양천구_목1동
신목동,9호선,양천구,목2동,양천구_목2동
염창,9호선,양천구,목2동,양천구_목2동
등촌,9호선,양천구,목3동,양천구_목3동
,,양천구,목4동,양천구_목4동
,,양천구,목5동,양천구_목5동
,,양천구,신월1동,양천구_신월1동
,,양천구,신월2동,양천구_신월2동
,,양천구,신월3동,양천구_신월3동
,,양천구,신월4동,양천구_신월4동
,,양천구,신월5동,양천구_신월5동
,,양천구,신월6동,양천구_신월6동
,,양천구,신월7동,양천구_신월7동
,,양천구,신정1동,양천구_신정1동
,,양천구,신정2동,양천구_신정2동
신정네거리,2호선,양천구,신정3동,양천구_신정3동
신정(은행정),5호선,양천구,신정4동,양천구_신정4동
,,양천구,신정6동,양천구_신정6동
양천구청,2호선,양천구,신정7동,양천구_신정7동
영등포구청,5호선,영등포구,당산1동,영등포구_당산1동
영등포구청,2호선,영등포구,당산1동,영등포구_당산1동
당산,9호선,영등포구,당산2동,영등포구_당산2동
당산,2호선,영등포구,당산2동,영등포구_당산2동
,,영등포구,대림1동,영등포구_대림1동
대림(구로구청),7호선,영등포구,대림2동,영등포구_대림2동
,,영등포구,대림3동,영등포구_대림3동
,,영등포구,도림동,영등포구_도림동
문래,2호선,영등포구,문래동,영등포구_문래동
신길,경부선,영등포구,신길1동,영등포구_신길1동
,,영등포구,신길3동,영등포구_신길3동
,,영등포구,신길4동,영등포구_신길4동
,,영등포구,신길5동,영등포구_신길5동
보라매,신림선,영등포구,신길6동,영등포구_신길6동
신풍,7호선,영등포구,신길6동,영등포구_신길6동
서울지방병무청,신림선,영등포구,신길7동,영등포구_신길7동
대방,신림선,영등포구,신길7동,영등포구_신길7동
대방,경부선,영등포구,신길7동,영등포구_신길7동
양평,5호선,영등포구,양평1동,영등포구_양평1동
선유도,9호선,영등포구,양평2동,영등포구_양평2동
샛강,신림선,영등포구,여의동,영등포구_여의동
여의도,9호선,영등포구,여의동,영등포구_여의동
여의나루,5호선,영등포구,여의동,영등포구_여의동
여의도,5호선,영등포구,여의동,영등포구_여의동
국회의사당,9호선,영등포구,여의동,영등포구_여의동
샛강,9호선,영등포구,여의동,영등포구_여의동
영등포시장,5호선,영등포구,영등포동,영등포구_영등포동
신길,5호선,영등포구,영등포동,영등포구_영등포동
영등포,경부선,영등포구,영등포본동,영등포구_영등포본동
서울역,4호선,용산구,남영동,용산구_남영동
숙대입구(갈월),4호선,용산구,남영동,용산구_남영동
남영,경부선,용산구,남영동,용산구_남영동
서울역,공항철도1호선,용산구,남영동,용산구_남영동
,,용산구,보광동,용산구_보광동
서빙고,경원선,용산구,서빙고동,용산구_서빙고동
효창공원앞,경의중앙선,용산구,용문동,용산구_용문동
효창공원앞,6호선,용산구,용문동,용산구_용문동
녹사평(용산구청),6호선,용산구,용산2가동,용산구_용산2가동
,,용산구,원효로1동,용산구_원효로1동
,,용산구,원효로2동,용산구_원효로2동
,,용산구,이촌1동,용산구_이촌1동
,,용산구,이촌2동,용산구_이촌2동
이태원,6호선,용산구,이태원1동,용산구_이태원1동
,,용산구,이태원2동,용산구_이태원2동
,,용산구,청파동,용산구_청파동
삼각지,4호선,용산구,한강로동,용산구_한강로동
신용산,4호선,용산구,한강로동,용산구_한강로동
이촌(국립중앙박물관),4호선,용산구,한강로동,용산구_한강로동
삼각지,6호선,용산구,한강로동,용산구_한강로동
용산,경부선,용산구,한강로동,용산구_한강로동
이촌(국립중앙박물관),경원선,용산구,한강로동,용산구_한강로동
한강진,6호선,용산구,한남동,용산구_한남동
한남,경원선,용산구,한남동,용산구_한남동
,,용산구,효창동,용산구_효창동
,,용산구,후암동,용산구_후암동
,,은평구,갈현1동,은평구_갈현1동
구산,6호선,은평구,갈현2동,은평구_갈현2동
,,은평구,구산동,은평구_구산동
녹번,3호선,은평구,녹번동,은평구_녹번동
역촌,6호선,은평구,녹번동,은평구_녹번동
불광,3호선,은평구,대조동,은평구_대조동
불광,6호선,은평구,대조동,은평구_대조동
연신내,6호선,은평구,대조동,은평구_대조동
연신내,수도권 광역급행철도,은평구,대조동,은평구_대조동
독바위,6호선,은평구,불광1동,은평구_불광1동
연신내,3호선,은평구,불광2동,은평구_불광2동
디지털미디어시티,경의중앙선,은평구,수색동,은평구_수색동
수색,경의중앙선,은평구,수색동,은평구_수색동
디지털미디어시티,경의중앙선,은평구,수색동,은평구_수색동
응암,6호선,은평구,신사1동,은평구_신사1동
새절(신사),6호선,은평구,신사2동,은평구_신사2동
,,은평구,역촌동,은평구_역촌동
,,은평구,응암1동,은평구_응암1동
,,은평구,응암2동,은평구_응암2동
,,은평구,응암3동,은평구_응암3동
증산(명지대앞),6호선,은평구,증산동,은평구_증산동
구파발,3호선,은평구,진관동,은평구_진관동
,,종로구,가회동,종로구_가회동
,,종로구,교남동,종로구_교남동
,,종로구,무악동,종로구_무악동
,,종로구,부암동,종로구_부암동
경복궁(정부서울청사),3호선,종로구,사직동,종로구_사직동
광화문(세종문화회관),5호선,종로구,사직동,종로구_사직동
,,종로구,삼청동,종로구_삼청동
동묘앞,1호선,종로구,숭인1동,종로구_숭인1동
,,종로구,숭인2동,종로구_숭인2동
혜화,4호선,종로구,이화동,종로구_이화동
종로3가,5호선,종로구,종로1·2·3·4가동,종로구_종로1·2·3·4가동
종각,1호선,종로구,종로1·2·3·4가동,종로구_종로1·2·3·4가동
종로3가,1호선,종로구,종로1·2·3·4가동,종로구_종로1·2·3·4가동
안국,3호선,종로구,종로1·2·3·4가동,종로구_종로1·2·3·4가동
종로3가,3호선,종로구,종로1·2·3·4가동,종로구_종로1·2·3·4가동
,,종로구,종로5·6가동 ,종로구_종로5·6가동 
동대문,1호선,종로구,창신1동,종로구_창신1동
